commodity_id,food_group,item_code,item_code_kind,item,n_parts,mass_fraction_sum,mass_balance_error,mass_balance_status,accounted_mass_fraction_sum,non_fao_mass_fraction_sum,unknown_fao_accounting_mass_fraction_sum,avoidable_mass_fraction,potentially_avoidable_mass_fraction,unavoidable_mass_fraction,source_sheets
fowcus_nuts_1653_nutmeg-mace-cardamoms-raw_3fa537a1,nuts,1653,commodity_code,"Nutmeg, mace, cardamoms, raw",4,1.0,0.0,pass,0.222,0.778,0.0,0.171,0.0,0.8290000000000001,nuts
fowcus_nuts_1379-9-pecan_pecan-in-shell_57a95df4,nuts,1379.9 - pecan,commodity_code,"Pecan, in shell",3,1.0,0.0,pass,0.0,1.0,0.0,0.36975,0.0,0.63025,nuts
fowcus_nuts_1379-9-pignola_pignola-nuts-in-shell_11870424,nuts,1379.9 - pignola,commodity_code,"Pignola nuts, in shell",3,1.0,0.0,pass,0.0,1.0,0.0,0.035,0.0,0.9650000000000001,nuts
fowcus_nuts_1379-9-pili_pili-nuts-in-shell_13a3312b,nuts,1379.9 - pili,commodity_code,"Pili nuts, in shell",3,0.995,-0.0050000000000000044,review,0.0,0.995,0.0,0.1,0.0,0.895,nuts
fowcus_nuts_1375_pistachios-in-shell_22d8e908,nuts,1375,commodity_code,"Pistachios, in shell",3,1.0,0.0,pass,0.6670574727999999,0.3329425272,0.0,0.35837158989999995,0.0,0.6416284101,nuts
fowcus_nuts_1499-02_tung-nuts_6d766ce3,nuts,1499.02,commodity_code,Tung nuts,3,1.0,0.0,pass,0.615,0.385,0.0,0.0,0.0,1.0,nuts
fowcus_nuts_1376_walnuts-in-shell_582390d1,nuts,1376,commodity_code,"Walnuts, in shell",4,1.0,0.0,pass,0.4285000000000001,0.5715,0.0,0.2142500000000001,0.0,0.78575,nuts
fowcus_root-vegetables_1219-01_cassava-leaves_98d95850,root_vegetables,1219.01,commodity_code,Cassava leaves,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,root_vegetables
fowcus_root-vegetables_1520-01_cassava-fresh_1ff00dad,root_vegetables,1520.01,commodity_code,"Cassava, fresh",4,1.0,0.0,pass,1.0,0.0,0.0,0.782,0.0,0.218,root_vegetables
fowcus_root-vegetables_1657_ginger-raw_bc90c18e,root_vegetables,1657,commodity_code,"Ginger, raw",2,1.0,0.0,pass,1.0,0.0,0.0,0.9,0.1,0.0,root_vegetables
fowcus_root-vegetables_1510_potatoes_90b32063,root_vegetables,1510,commodity_code,Potatoes,2,1.0,0.0,pass,1.0,0.0,0.0,0.81,0.19,0.0,root_vegetables
fowcus_root-vegetables_1530_sweet-potatoes_c83e640f,root_vegetables,1530,commodity_code,Sweet potatoes,2,1.0,0.0,pass,1.0,0.0,0.0,0.8,0.2,0.0,root_vegetables
fowcus_root-vegetables_1550_taro_00458a93,root_vegetables,1550,commodity_code,Taro,2,1.0,0.0,pass,1.0,0.0,0.0,0.86,0.14,0.0,root_vegetables
fowcus_root-vegetables_1540_yams_4aaef68b,root_vegetables,1540,commodity_code,Yams,2,1.0,0.0,pass,1.0,0.0,0.0,0.86,0.14,0.0,root_vegetables
fowcus_root-vegetables_1591_yautia_4a896508,root_vegetables,1591,commodity_code,Yautia,2,1.0,0.0,pass,1.0,0.0,0.0,0.782,0.0,0.218,root_vegetables
fowcus_seafood_aggregation_abalone-outside-top-100_e584bb08,seafood,aggregation,aggregation,Abalone outside top 100,3,1.0,0.0,pass,1.0,0.0,0.0,0.42,0.0,0.5800000000000001,seafood
fowcus_seafood_228007000903_akiami-paste-shrimp_dce97da7,seafood,228007000903,commodity_code,Akiami paste shrimp,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_148004000213_alaska-pollock-walleye-poll_f04fb254,seafood,148004000213,commodity_code,Alaska pollock(=Walleye poll.),5,1.0,0.0,pass,1.0,0.0,0.0,0.41,0.0,0.59,seafood
fowcus_seafood_536001000201_american-alligator_8a39de7b,seafood,536001000201,commodity_code,American alligator,9,1.0,0.0,pass,1.0,0.0,0.0,0.43410000000000004,0.0,0.5659,seafood
fowcus_seafood_141007003102_amur-catfish_2e59fba7,seafood,141007003102,commodity_code,Amur catfish,5,0.996,-0.0040000000000000036,review,0.996,0.0,0.0,0.35,0.016,0.63,seafood
fowcus_seafood_121006000208_anchoveta-peruvian-anchovy_da128579,seafood,121006000208,commodity_code,Anchoveta(=Peruvian anchovy),4,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.6759,0.0,0.3241,seafood
fowcus_seafood_226001000501_antarctic-krill_10fc23d6,seafood,226001000501,commodity_code,Antarctic krill,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_aggregation_aquatic-plants-outside-top-100_518782e3,seafood,aggregation,aggregation,Aquatic Plants outside top 100,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_148005000406_argentine-hake_42349a8e,seafood,148005000406,commodity_code,Argentine hake,5,1.0,0.0,pass,1.0,0.0,0.0,0.55,0.0,0.44999999999999996,seafood
fowcus_seafood_175001000209_atlantic-chub-mackerel_082931b2,seafood,175001000209,commodity_code,Atlantic chub mackerel,4,1.0,0.0,pass,1.0,0.0,0.0,0.61,0.06467,0.32533,seafood
fowcus_seafood_148004000202_atlantic-cod_eee9123c,seafood,148004000202,commodity_code,Atlantic cod,6,1.0,0.0,pass,1.0,0.0,0.0,0.49,0.03,0.48,seafood
fowcus_seafood_121005000105_atlantic-herring_4d17df1f,seafood,121005000105,commodity_code,Atlantic herring,7,1.0001,9.999999999998899e-05,review,1.0001,0.0,0.0,0.4932,0.05,0.4569,seafood
fowcus_seafood_175001000205_atlantic-mackerel_70d6108a,seafood,175001000205,commodity_code,Atlantic mackerel,4,1.0,0.0,pass,1.0,0.0,0.0,0.61,0.06467,0.32533,seafood
fowcus_seafood_123001000401_atlantic-salmon_30530393,seafood,123001000401,commodity_code,Atlantic salmon,6,1.0,0.0,pass,1.0,0.0,0.0,0.6432,0.0,0.3568,seafood
fowcus_seafood_175001002612_bigeye-tuna_4fda0f23,seafood,175001002612,commodity_code,Bigeye tuna,7,1.0,0.0,pass,1.0,0.0,0.0,0.64,0.08,0.28,seafood
fowcus_seafood_140002004302_bighead-carp_b43b91ec,seafood,140002004302,commodity_code,Bighead carp,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_140002014401_black-carp_40148554,seafood,140002014401,commodity_code,Black carp,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_316004007201_blood-cockle_0dbd634a,seafood,316004007201,commodity_code,Blood cockle,2,1.0,0.0,pass,1.0,0.0,0.0,0.7407407407407407,0.0,0.25925925925925924,seafood
fowcus_seafood_148004003301_blue-whiting-poutassou_ce0c88aa,seafood,148004003301,commodity_code,Blue whiting(=Poutassou),6,1.0,0.0,pass,1.0,0.0,0.0,0.49,0.03,0.48,seafood
fowcus_seafood_1700590051xx001_blue-nile-tilapia-hybrid_8fc6ef11,seafood,1700590051XX001,commodity_code,"Blue-Nile tilapia, hybrid",6,1.0,0.0,pass,1.0,0.0,0.0,0.4175,0.07,0.5125,seafood
fowcus_seafood_121005003002_bonga-shad_3ded083f,seafood,121005003002,commodity_code,Bonga shad,7,1.0,0.0,pass,1.0,0.0,0.0,0.5554353000000001,0.0063,0.4382647,seafood
fowcus_seafood_7710xxxxxxxx_brown-seaweeds_2968e0fd,seafood,7710XXXXXXXX,commodity_code,Brown seaweeds,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_140020160x_carassius-spp_c2fe75a8,seafood,140020160X,commodity_code,Carassius spp,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_140002005001_catla_b0239f4a,seafood,140002005001,commodity_code,Catla,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_3210xxxxxxxx_cephalopods-nei_357a355c,seafood,3210XXXXXXXX,commodity_code,Cephalopods nei,5,1.0,0.0,pass,1.0,0.0,0.0,0.621,0.028,0.351,seafood
fowcus_seafood_141010000202_channel-catfish_e7db6a8b,seafood,141010000202,commodity_code,Channel catfish,5,0.9984999999999999,-0.0015000000000000568,review,0.9984999999999999,0.0,0.0,0.45,0.056,0.4925,seafood
fowcus_seafood_170023000405_chilean-jack-mackerel_a5c122d7,seafood,170023000405,commodity_code,Chilean jack mackerel,4,1.0,0.0,pass,1.0,0.0,0.0,0.61,0.06467,0.32533,seafood
fowcus_seafood_316010000103_chilean-mussel_cc2db5eb,seafood,316010000103,commodity_code,Chilean mussel,3,1.0,0.0,pass,1.0,0.0,0.0,0.51,0.0,0.49,seafood
fowcus_seafood_231013002803_chinese-mitten-crab_3235512f,seafood,231013002803,commodity_code,Chinese mitten crab,3,1.0,0.0,pass,0.76,0.0,0.24,0.32999999999999996,0.0,0.67,seafood
fowcus_seafood_aggregation_clams-outside-top-100_a0376c6b,seafood,aggregation,aggregation,Clams outside top 100,2,1.0,0.0,pass,1.0,0.0,0.0,0.16,0.0,0.84,seafood
fowcus_seafood_1210xxxxxxxx020_clupeoids-nei_f7e74f8f,seafood,1210XXXXXXXX020,commodity_code,Clupeoids nei,7,1.0001,9.999999999998899e-05,review,1.0001,0.0,0.0,0.4717,0.1041,0.4243,seafood
fowcus_seafood_aggregation_cockle-outside-top-100_38245772,seafood,aggregation,aggregation,Cockle outside top 100,2,1.0,0.0,pass,1.0,0.0,0.0,0.41368421052631577,0.0,0.5863157894736842,seafood
fowcus_seafood_140002000201_common-carp_9745cdc3,seafood,140002000201,commodity_code,Common carp,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_316040000101_constricted-tagelus_b5090c56,seafood,316040000101,commodity_code,Constricted tagelus,2,1.0,0.0,pass,1.0,0.0,0.0,0.35,0.0,0.65,seafood
fowcus_seafood_aggregation_crabs-outside-top-100_011d29eb,seafood,aggregation,aggregation,Crabs outside top 100,2,1.0,0.0,pass,1.0,0.0,0.0,0.27,0.0,0.73,seafood
fowcus_seafood_1700370xxxxx_croakers-drums-nei_1f340dfe,seafood,1700370XXXXX,commodity_code,"Croakers, drums nei",6,0.9956,-0.0043999999999999595,review,0.9956,0.0,0.0,0.5530279717728144,0.04195205748815818,0.40061997073902744,seafood
fowcus_seafood_3160070008xx_cupped-oysters-nei_69d60658,seafood,3160070008XX,commodity_code,Cupped oysters nei,3,1.0,0.0,pass,1.0,0.0,0.0,0.18,0.0,0.82,seafood
fowcus_seafood_3210020xxxxx026_cuttlefish-bobtail-squids-nei_b0f860ff,seafood,3210020XXXXX026,commodity_code,"Cuttlefish, bobtail squids nei",5,1.0,0.0,pass,1.0,0.0,0.0,0.621,0.0,0.379,seafood
fowcus_seafood_1400020xxxxx_cyprinids-nei_8c8fd14d,seafood,1400020XXXXX,commodity_code,Cyprinids nei,6,1.0,0.0,pass,1.0,0.0,0.0,0.5124,0.0,0.48760000000000003,seafood
fowcus_seafood_aggregation_demersal-marine-fish-outside-top-100_3224e525,seafood,aggregation,aggregation,Demersal Marine Fish outside top 100,6,0.993288378476664,-0.006711621523336042,review,0.993288378476664,0.0,0.0,0.49997294924459856,0.04690006987963662,0.44641535935242876,seafood
fowcus_seafood_787005000202_elkhorn-sea-moss_52febd0b,seafood,787005000202,commodity_code,Elkhorn sea moss,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_7870050014xx_eucheuma-seaweeds-nei_92fcd60b,seafood,7870050014XX,commodity_code,Eucheuma seaweeds nei,1,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,seafood
fowcus_seafood_121006000201_european-anchovy_ec346e15,seafood,121006000201,commodity_code,European anchovy,4,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.6759,0.0,0.3241,seafood
fowcus_seafood_121005006401_european-pilchard-sardine_82e5a27d,seafood,121005006401,commodity_code,European pilchard(=Sardine),3,1.0,0.0,pass,1.0,0.0,0.0,0.68,0.0,0.32,seafood
fowcus_seafood_121005006601_european-sprat_cd0d72db,seafood,121005006601,commodity_code,European sprat,7,1.0001,9.999999999998899e-05,review,1.0001,0.0,0.0,0.4666,0.0766,0.4569,seafood
